event,timestamp_ms,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_dps,gyro_y_dps,gyro_z_dps
imu_data,3039,-0.22,-0.60,9.46,0.12,0.00,-0.06
imu_data,3089,-0.19,-0.67,9.50,0.06,0.19,-0.12
imu_data,3139,-0.18,-0.61,9.49,-0.12,-0.12,0.06
imu_data,3189,-0.19,-0.58,9.51,0.06,0.25,-0.06
imu_data,3239,-0.21,-0.61,9.49,-0.25,-0.12,-0.06
imu_data,3289,-0.19,-0.62,9.51,0.00,0.12,-0.06
imu_data,3340,-0.18,-0.63,9.50,-0.19,0.06,0.00
imu_data,3391,-0.18,-0.61,9.51,0.06,0.19,-0.06
imu_data,3442,-0.17,-0.63,9.48,-0.12,-0.06,0.00
imu_data,3493,-0.22,-0.60,9.50,-0.06,0.00,0.06
imu_data,3543,-0.20,-0.58,9.49,0.06,0.00,0.06
imu_data,3593,-0.19,-0.63,9.50,0.06,-0.06,0.06
imu_data,3642,-0.18,-0.63,9.51,0.12,-0.06,-0.19
imu_data,3689,-0.20,-0.59,9.49,0.12,-0.06,0.06
imu_data,3739,-0.18,-0.60,9.49,0.06,0.06,0.00
imu_data,3789,-0.19,-0.63,9.51,0.06,-0.12,0.00
imu_data,3839,-0.21,-0.62,9.49,-0.12,0.06,-0.06
imu_data,3890,-0.21,-0.64,9.50,0.00,-0.19,0.19
imu_data,3941,-0.18,-0.61,9.48,-0.06,-0.06,0.06
imu_data,3992,-0.20,-0.62,9.49,0.06,0.12,0.19
imu_data,4042,-0.17,-0.64,9.47,-0.19,0.06,0.06
imu_data,4093,-0.18,-0.63,9.51,0.06,0.19,-0.12
imu_data,4143,-0.22,-0.59,9.47,-0.12,0.25,0.00
imu_data,4192,-0.21,-0.61,9.50,0.12,0.31,0.06
imu_data,4239,-0.17,-0.63,9.50,0.06,0.25,0.00
imu_data,4289,-0.19,-0.62,9.49,0.06,0.19,0.00
imu_data,4339,-0.19,-0.61,9.46,0.00,0.12,0.00
imu_data,4389,-0.19,-0.63,9.48,0.12,0.12,-0.12
imu_data,4440,-0.18,-0.65,9.49,-0.12,-0.19,0.06
imu_data,4491,-0.20,-0.64,9.49,0.12,-0.06,0.00
imu_data,4542,-0.21,-0.59,9.50,0.19,-0.12,0.00
imu_data,4592,-0.19,-0.62,9.49,0.00,0.00,0.12
imu_data,4643,-0.19,-0.61,9.52,0.19,0.25,0.00
imu_data,4693,-0.27,-0.65,9.54,-0.19,-0.06,0.00
imu_data,4743,-0.13,-0.62,9.52,-0.56,0.19,0.19
imu_data,4789,-0.24,-0.56,9.48,-0.12,0.06,0.31
imu_data,4839,-0.26,-0.63,9.50,-0.12,0.00,-0.06
imu_data,4889,-0.11,-0.67,9.50,0.12,0.00,-0.12
imu_data,4939,-0.24,-0.60,9.50,-0.06,0.12,0.19
imu_data,4990,-0.23,-0.61,9.54,0.12,0.19,-0.06
imu_data,5041,-0.14,-0.66,9.49,0.25,0.06,-0.06
imu_data,5091,-0.21,-0.57,9.50,0.00,-0.19,0.06
imu_data,5142,-0.22,-0.63,9.52,-0.12,0.00,-0.06
imu_data,5193,-0.16,-0.66,9.53,0.06,0.31,-0.12
imu_data,5243,-0.21,-0.58,9.49,-0.06,0.00,0.06
imu_data,5293,-0.22,-0.60,9.47,-0.06,-0.06,-0.06
imu_data,5339,-0.17,-0.63,9.50,0.00,-0.06,0.12
imu_data,5389,-0.21,-0.60,9.48,-0.19,-0.38,0.06
imu_data,5439,-0.17,-0.60,9.50,-0.75,0.00,-0.12
imu_data,5489,-0.20,-0.22,9.46,-1.81,0.69,1.94
imu_data,5540,0.20,-2.46,9.71,4.06,-1.62,15.06
imu_data,5589,-0.19,-0.35,9.51,1.88,-0.31,3.56
imu_data,5639,-0.53,0.86,9.49,-0.94,-0.44,15.50
imu_data,5689,0.09,-1.36,9.45,1.50,-0.88,18.88
imu_data,5739,-0.72,-0.98,9.60,2.44,-11.25,-44.38
imu_data,5789,0.33,-0.98,9.80,-6.12,-22.38,-51.88
imu_data,5839,0.40,0.45,11.70,30.50,-67.06,-15.75
imu_data,5889,1.28,-0.49,2.45,24.19,-88.75,-48.44
imu_data,5939,1.13,0.03,8.58,10.62,-28.88,-35.12
imu_data,5989,1.20,-1.18,11.05,-6.31,-34.12,-73.56
imu_data,6039,1.57,0.26,9.06,-3.56,-26.88,-65.25
imu_data,6090,2.14,-0.86,8.93,-47.00,-19.94,-92.19
imu_data,6141,2.22,0.84,9.37,-47.56,-16.81,-87.56
imu_data,6192,1.81,-2.41,9.59,-53.88,-11.12,-106.38
imu_data,6242,1.47,-0.65,8.93,-40.62,14.75,-78.50
imu_data,6293,1.34,-0.64,8.78,-60.12,0.81,-95.69
imu_data,6343,1.53,1.03,10.30,-24.56,9.94,-46.81
imu_data,6393,1.47,0.67,8.91,-6.38,13.25,-36.00
imu_data,6439,1.17,-0.33,8.94,-6.62,2.81,-14.94
imu_data,6489,2.03,0.28,9.61,5.69,-3.88,5.25
imu_data,6539,1.17,-0.99,10.26,-11.38,1.00,12.38
imu_data,6589,0.99,-3.03,8.98,13.12,22.25,75.12
imu_data,6640,2.61,-0.57,7.59,135.25,-17.69,198.44
imu_data,6690,1.91,-0.58,9.11,73.69,-14.00,187.56
imu_data,6741,2.74,4.77,9.08,-15.50,-27.12,112.12
imu_data,6792,1.97,1.07,9.33,0.62,1.44,-16.25
imu_data,6843,1.77,-0.15,9.71,-0.12,-2.25,13.75
imu_data,6893,1.94,0.68,9.30,8.88,7.88,-2.88
imu_data,6943,1.96,1.40,9.55,-1.75,19.94,-12.88
imu_data,6991,2.55,-1.28,8.87,-6.69,38.56,-72.44
imu_data,7039,3.89,0.00,8.88,-43.06,28.12,-25.81
imu_data,7089,4.51,-0.80,9.27,-22.38,15.88,-44.12
imu_data,7139,2.71,1.10,7.55,-49.62,12.75,-13.00
imu_data,7189,-1.15,-1.94,10.48,2.00,-18.31,-34.81
imu_data,7240,-5.47,0.98,12.24,-2.81,41.62,-16.44
imu_data,7291,-5.47,-0.24,9.09,9.38,37.31,-5.81
imu_data,7342,-2.14,-0.73,8.62,17.25,8.62,27.06
imu_data,7392,1.59,0.84,9.81,17.12,-8.62,37.00
imu_data,7443,5.89,-0.94,10.00,29.44,-30.31,-30.69
imu_data,7493,5.66,2.38,9.11,-31.94,-23.75,-39.88
imu_data,7543,3.14,-2.04,9.71,-77.75,1.62,-156.19
imu_data,7589,-1.96,-4.11,8.41,-22.19,-11.88,-90.25
imu_data,7639,-1.98,-5.67,8.85,-71.38,-3.12,-109.50
imu_data,7689,-0.53,-3.02,8.93,26.94,-24.31,28.56
imu_data,7739,0.90,-2.76,11.71,96.19,-18.50,147.69
imu_data,7790,5.51,5.94,7.63,109.81,55.00,272.12
imu_data,7840,4.01,6.12,8.95,63.06,19.00,94.62
imu_data,7889,2.97,6.64,9.16,-1.50,14.69,-46.06
imu_data,7939,0.95,-1.57,8.13,-108.69,47.75,-154.00
imu_data,7989,-1.85,-6.74,9.97,32.19,-40.31,-113.81
