event,timestamp_ms,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_dps,gyro_y_dps,gyro_z_dps
imu_data,9339,-0.09,-0.75,9.54,0.00,0.25,7.75
imu_data,9389,-0.11,-0.75,9.49,0.25,-0.06,-0.12
imu_data,9439,-0.16,-0.69,9.52,0.56,0.06,-0.25
imu_data,9489,-0.04,-0.70,9.50,-0.12,-0.06,-0.06
imu_data,9540,-0.17,-0.67,9.56,0.38,-0.19,0.00
imu_data,9590,-0.18,-0.64,9.52,-0.19,-0.38,1.62
imu_data,9641,-0.06,-0.73,9.45,0.19,-0.25,3.56
imu_data,9692,-0.13,-0.76,9.50,0.12,-0.12,2.06
imu_data,9743,-0.12,-0.66,9.50,0.31,0.06,0.12
imu_data,9793,-0.10,-0.68,9.50,0.25,-0.25,-0.12
imu_data,9843,-0.10,-0.72,9.49,0.00,0.12,-0.12
imu_data,9889,-0.12,-0.69,9.48,0.38,0.06,-0.06
imu_data,9939,-0.05,-0.76,9.50,0.19,-0.12,0.00
imu_data,9989,-0.16,-0.67,9.48,-0.06,-0.12,0.25
imu_data,10039,-0.07,-0.68,9.53,0.19,0.06,-0.25
imu_data,10090,-0.13,-0.72,9.52,0.06,0.00,0.00
imu_data,10140,-0.10,-0.70,9.48,0.12,0.00,0.06
imu_data,10191,-0.15,-0.64,9.52,0.06,-0.12,0.44
imu_data,10242,-0.11,-0.63,9.52,-0.12,-0.12,5.38
imu_data,10293,-0.12,-0.73,9.51,-0.19,0.06,8.94
imu_data,10343,-0.08,-0.74,9.19,0.12,-0.06,4.38
imu_data,10393,-0.16,-0.69,9.61,-0.12,-0.06,0.06
imu_data,10443,-0.06,-0.70,9.22,0.06,-0.31,-0.19
imu_data,10489,-0.10,-0.72,9.55,0.12,0.19,-0.19
imu_data,10539,-0.11,-0.70,9.58,-0.12,-0.06,-0.06
imu_data,10589,-0.13,-0.72,9.52,-0.50,0.12,-0.06
imu_data,10640,-0.10,-0.68,9.53,-0.38,0.12,-0.12
imu_data,10690,-0.14,-0.71,9.55,-0.31,0.19,-0.19
imu_data,10741,-0.09,-0.72,9.56,-0.12,-0.12,-0.12
imu_data,10792,-0.14,-0.71,9.47,-0.06,-0.12,0.00
imu_data,10843,-0.12,-0.69,9.52,-0.06,0.12,-0.19
imu_data,10893,-0.11,-0.75,9.54,-0.25,-0.25,-0.12
imu_data,10943,-0.10,-0.70,9.59,0.31,0.06,0.12
